age,edu_level,fav_animals,fav_place,gender,experience,industry,motivation,Cluster,Cluster_Description
<18,Podstawowe,Brak ulubionych,,Kobieta,Powyżej 10 lat,Kadry (HR),Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Średnie,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,IT,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Energetyka,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Średnie,Koty,W górach,Mężczyzna,Powyżej 10 lat,Nieruchomości,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,6-10,Ochrona środowiska,Pasja,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
25-34,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Logistyka,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
25-34,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Logistyka i Transport,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
25-34,Wyższe,Brak ulubionych,W górach,Mężczyzna,Powyżej 10 lat,Energetyka zawodowa,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Psy,W górach,Kobieta,Powyżej 10 lat,Gastronomia,Pasja,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
18-24,Średnie,Koty,W górach,Mężczyzna,6-10,Finanse,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Brak ulubionych,W górach,Mężczyzna,6-10,Usługi,Pasja,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
25-34,Wyższe,Psy,W lesie,Kobieta,Powyżej 10 lat,Finanse,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Wellness,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Średnie,Inne,W górach,Mężczyzna,Powyżej 10 lat,Architektura,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Wyższe,Inne,Nad wodą,Mężczyzna,Powyżej 10 lat,Automatyka i robotyka,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Średnie,Koty,Nad wodą,Mężczyzna,1-2,Bezrobotny,Większe zarobki,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
>=65,Wyższe,Brak ulubionych,,Mężczyzna,Powyżej 10 lat,Budowlana,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Psy,W górach,Mężczyzna,1-2,Poligrafia,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Koty,,Mężczyzna,Powyżej 10 lat,Administracja publiczna,Nowa kariera,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Koty i Psy,Nad wodą,Kobieta,Powyżej 10 lat,Bezpieczeństwo,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,IT,Nowa kariera,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
>=65,Wyższe,Brak ulubionych,W lesie,Kobieta,Powyżej 10 lat,Energetyka,Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,1-2,Usługi,Rozwój osobisty,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Opieka,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Średnie,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Wellness,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Chemia,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Produkcja,Nowa kariera,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Gastronomia,Polecenie znajomych,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
